name,location,postal_town,latitude,longitude,logo_url,description,my_venues,genre,band_type,contact_name,contact_number,contact_email,contact_link
KRN Promotions,"Sunderland, England, United Kingdom",Sunderland,54.9058512,-1.3828727,,"KRN promotions is a metal based promotions company established in August 2023. Our goal is to bring new underground bands to different venues around the UK and show off what talent there is. We also dabble in the odd review for EPs, Singles and shows.","This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",[],[],Krispy Harper,00000000000,kr.promotions.94@gmail.com,"{""facebook"":""https://www.facebook.com/profile.php?id=100095401154890"",“instagram”:”https://www.instagram.com/krpromotions_/profilecard/?igsh=aGdhbGFmYmcyMjhw""}"
BeardBo & Get Heavy UK,"Newcastle upon Tyne, Tyne and Wear, England, United Kingdom",Newcastle,54.9738474,-1.6131572,,"Est in 2021 Newcastle Based Live Video-Radio Show, Podcast & Reviews","This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",[],[],General,00000000000,contact@get-heavy-uk.co.uk,"{""facebook"":”https://www.facebook.com/profile.php?id=100091939881561”,“instagram”:”https://instagram.com/getheavyuk"",“tiktok”:”https://tiktok.com/@getheavyuk"",""twitter"":""https://x.com/getheavyuk""}"
Mangata Music,"Nottingham, Nottinghamshire, England, United Kingdom",Nottingham,52.9534193,-1.1496461,,"Nottingham based live music promotions company, specialising in heavy music.","This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",[],[],Kris,00000000000,info@mangatamusic.co.uk,"{“website”:”https://www.mangatamusic.co.uk/"",""facebook"":""https://www.facebook.com/mangatapromotions"",""instagram"":""https://www.instagram.com/mangatapromotions/""}"
Rock The Foundry,"Nottingham, Nottinghamshire, England, United Kingdom",Nottingham,52.9534193,-1.1496461,,"Rock The Foundry Metal Promotions organises single shows, all dayers and tours for rock/metal bands","This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",[],[],General,00000000000,rockthefoundry@outlook.com,"{""facebook"":""https://www.facebook.com/rockthefoundrypromotions""}"
Lilith Promotions,"Manchester, England, United Kingdom",Manchester,53.4794892,-2.2451148,,For all enquires please email us lilithpromohq@gmail.com,"This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",[],[],General,00000000000,lilithpromohq@gmail.com,"{""facebook"":""https://www.facebook.com/profile.php?id=100089881453453"",""instagram"":""https://www.instagram.com/lilithpromotionshq/""}"
Heads Up North Manchester,"Manchester, England, United Kingdom",Manchester,53.4794892,-2.2451148,,"Born and raised in Manchester, Heads up North are a new and fresh, all inclusive web-scene!","This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",[],[],General,00000000000,blank@yournextshow.co.uk,"{""facebook"":""https://www.facebook.com/profile.php?id=61552663431410""}"
Shadow Fest Promotions,"Bradford, England, United Kingdom",Bradford,53.7944229,-1.7519186,,"Female owned | Metalcore, deathcore, punk, pop punk promoter | Based in Bradford 🤘🏻🖤","This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",[],[],Jamie-Lee Hannon,07710817121,shadowfestuk@gmail.com,"{""facebook"":""https://www.facebook.com/ShadowFest1"",""instagram"":""https://www.instagram.com/shadowfestpromotions/"",“twitter”:”https://twitter.com/shadow_fest”,“tiktok”:”https://www.tiktok.com/@shadowfestpromotions16”}"
North East Wales Metal Productions,"Wales, United Kingdom",Wales,52.2928116,-3.73893,,Metal promotions company situated in North East Wales. We aim to bring you bigger and better events featuring metal bands from across the world!,"This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",[],[],General,00000000000,bookings@goodforaudio.co.uk,"{""facebook"":""https://www.facebook.com/N.E.WMetalProductions""}"
Mcintosh Inc Promotions,"Blackpool, FY1 1DL, United Kingdom",Blackpool,53.8179442,-3.0509812,,A new promotions company starting in Blackpool and sister company to McIntosh Inc Reviews and Mcintosh Bookings,"This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",[],[],Gary,00000000000,Info.mip.tech@gmail.com,"{“facebok”:”https://www.facebook.com/mcintoshincpromotions"",“instagram”:”https://www.instagram.com/mcintosh_inc_promotionsuk?igsh=NDhhY3ozNzhjN3k4"",“tiktok”:”https://www.tiktok.com/@mcintoshincpromotions?_t=8pjzydksqdk&_r=1""}"
LKmusic Promotions,"Merseyside, England",Mersyside,53.4076347351074,-2.98400855064392,,LKmusic Promotions are brand new music promoters based in Merseyside,"This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",[],[],General,00000000000,lkmusicpromotions@gmail.com,"{""facebook"":”https://www.facebook.com/LKmusic9792"",“instagram”:”https://instagram.com/LKmusicpromo”,""tiktok"":""https://tiktok.com/@lkmusicpromo"",""youtube"":""https://www.youtube.com/channel/UCTboVBpzEVgGd3IIaf404Lg/featured""}"
0161 MUMC Promotions,"Manchester, England, United Kingdom",Manchester,53.4794892,-2.2451148,,"We have created this page to allow underground bands from all over the world to promote themselves to an audience. We both promote bands and we put on lots of events around the Northwest. Feel free to message or email us if you require any help as a band
","This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",[],[],General,07920446538,0161mumc@gmail.com,"{""facebook"":”https://www.facebook.com/0161MUMC"",""twitter"":""https://x.com/0161Metal"",""tiktok"":""https://tiktok.com/@0161mumc"",""instagram"":""https://instagram.com/0161mumc"",""youtube"":""https://youtube.com/@MUMCPromotions""}"
Atheris Promotions,"Bristol, City of Bristol, England, United Kingdom",Bristol,51.4538022,-2.5972985,,Event promoters based in Bristol specialising in metal and heavy bands who want to start making some headway in the scene. Get in touch if you want to collaborate!,"This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",[],[],General,00000000000,atherispromotions@gmail.com,"{""facebook"":""https://www.facebook.com/atherispromotions""}"
Blood Eagle Promotions,"Manchester, England, United Kingdom",Manchester,53.4794892,-2.2451148,,Manchester based music Promotor,"This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",[],[],General,00000000000,bloodeaglepromotions@gmail.com,"{“facebook"":""https://www.facebook.com/profile.php?id=100091416712828}"
Deadsoul Promotions,"Ipswich, Suffolk, England, United Kingdom",Ipswich,52.0579324,1.1528095,,"Booking & Promotions company based in Ipswich, UK. Bringing Metal to Ipswich & beyond since 2005!","This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",[],[],General,00000000000,deadsoulpromotions@gmail.com,"{""facebook"":""https://www.facebook.com/deadsoulpromotions""}"
Jackhammer Promotions,"Brighton, East Sussex, England, United Kingdom",Brighton,50.8214626,-0.1400561,,Live Events | Booking Agency | Band Management,"This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",[],[],General,00000000000,mark784wood@googlemail.com,"{""facebook"":""https://www.facebook.com/jackhammerpromotions""}"
Luna Promotions,"Norwich, Norfolk, England, United Kingdom",Norwich,52.6285576,1.2923954,,Providing Music Promotion in Norwich,"This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",[],[],General,00000000000,lunapromotions20@gmail.com,"{""facebook"":""https://www.facebook.com/lunapromotionsnorwich"",“instagram”:”https://www.instagram.com/lunapromotions20/""}"
Metathetic Music,"Durham, England, United Kingdom",Durham,54.666667,-1.75,,"This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!","This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",[],[],Will,00000000000,will@methatheticmusic.co.uk,"{""facebook"":""https://facebook.com/metatheticmusic"",""instagram"":""https://instagram.com/metathetic_music"",""tiktok"":""https://tiktok.com/@metatheticmusic"",""website"":""https://metatheticmusic.co.uk/""}"
