venues
name,location,postal_town,longitude,latitude,w3w,capacity,in_house_gear,band_type,genre,contact_name,contact_number,contact_email,contact_link,description,additional_info,logo_url
Corporation,"Corporation, Milton Street, Sheffield City Centre, Sheffield, UK",Sheffield,-1.477934,53.376263,hobby.lifts.shower,0,"This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",[],[],General,01142760262,blank@yournextshow.co.uk,"{""website"":""https://corporation.org.uk/"",""facebook"":""https://www.facebook.com/CorporationSheffield"",""instagram"":""https://www.instagram.com/corpsheffield/"",""tiktok"":""https://www.tiktok.com/@corporationnightclub""}","Home of the Blue Pint. Get Gig Tickets -https://corporation.org.uk/live-gigs/ Join us Monday, Friday and Saturday for multiple rooms of music & some of the cheapest club night drinks in Sheff - https://corporation.org.uk/club-night-tickets/","This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",https://linktothelogo.com/logo.png
Dove and Rainbow,"The Dove & Rainbow, Hartshead Square, Sheffield City Centre, Sheffield, UK",Sheffield,-1.363856,53.348082,broken.aside.wing,0,"This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",[],[],Keith,01142721594,blank@yournextshow.co.uk,"{""website"":""https://doveandrainbow.com/"",""facebook"":""https://www.facebook.com/doveandrainbow"",""instagram"":""https://www.instagram.com/thedoveandrainbow/""}","Sheffield's friendly City Centre Rock Pub, and Alternative Community Hub is hidden away behind Spoons","This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",https://linktothelogo.com/logo.png
Code,"Code Sheffield, Eyre Street, Sheffield City Centre, Sheffield, UK",Sheffield,-1.472182,53.375299,broad.boats.loaded,2000,"Full Flare Audio Sound, x2 Pioneer CDJ2000NXS2, x1 DJM900NXS2, LED Ceiling, CO2 Jets, Confetti System, 38 Moving Spots & Washes, LED Strobes & Blinders, Projection Mapping, x3 Lasers (x2 2W & x1 10W)",[],[],General,01142720097,info@codesheffield.com,"{""website"":""https://www.codesheffield.com/"",""facebook"":""https://www.facebook.com/sheffieldcode"",""instagram"":""https://www.instagram.com/codesheffield/"",""twitter"":""https://www.twitter.com/codesheffield"",""tiktok"":""https://www.tiktok.com/@codesheffield"",""snapchat"":""https://www.snapchat.com/add/codesheffield""}","This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!","This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",https://linktothelogo.com/logo.png
West Street Live,"West Street Live, West Street, Sheffield City Centre, Sheffield, UK",Sheffield,-1.475295,53.381080,pull.excuse.insist,0,"Mixing Desk: Allen and Heath GL2400, Front Of House: LA Audio DLX260, LA Audio EQ231G, Lab Gruppen C88:4, 2 x HK Audio CT 115, 4 x HK Audio CT 118 Sub, Monitoring: 2x DBX 231s, 4x Hk Audio L5 112XA, House Bass Rig: Peavey Session Bass, SWR 4×10, House Drum Kit: Pearl Export 4 piece, Microphones: 6 x Shure SM 57, 3 x The T.bone MB-75 Beta, 1 x Sennheiser e602-ii, 3 x AKG P4, 2 x Sennheiser e606, 1 x Takstar PCM-6100, DI: Behringer Ultra-Di Pro (8 Inputs), Lighting Rig: 2 x robe show lighting spot’s, 2 x lanta Saturn 5 disco, 3x lanta LED stage lights, Qtx light DMX-x10 controller",[],[],General,01142492785,mentholmans@hotmail.com,"{""website"":""http://weststreetlive.co.uk/"",""facebook"":""https://www.facebook.com/WestStreetLive"",""twitter"":""https://twitter.com/WestStreetLive"",""instagram"":""https://www.instagram.com/weststreetlive""}","West Street Live is a live music venue and late bar/club in Sheffield, open 7 days a week.","This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",https://linktothelogo.com/logo.png
Church,"Church - Temple of Fun, Rutland Way, Sheffield, UK",Sheffield,-1.479347,53.392626,eggs.struck.churn,220,"This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",[],[],General,07521610842,info@templeof.fun,"{""website"":""https://templeof.fun/"",""facebook"":""https://www.facebook.com/TempleOfFun/"",""instagram"":""https://www.instagram.com/templeof.fun"",""tiktok"":""https://www.tiktok.com/@templeof.fun"",""twitter"":""https://twitter.com/templeof_fun""}",Voted 'Best Vegan/Vegetarian Restaurant' in Sheffield's Exposed Awards.,"This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",https://linktothelogo.com/logo.png
Hagglers Corner,"Hagglers Corner, Queens Road, Lowfield, Sheffield, UK",Sheffield,-1.4716564,53.3646957,suffice.boxer.adults,100,Sound System,[],[],General,07968822654,blank@yournextshow.co.uk,"{""website"":""https://hagglerscorner.co.uk/"",""facebook"":""https://www.facebook.com/hagglers.corner"",""instagram"":""https://www.instagram.com/hagglers_corner_/"",""twitter"":""https://www.twitter.com/hagglerscorner""}","✨Cafe by Day, Party by Night
🍸Bar/Food/Music Venue
🎵Record Shop
🏆Award Winning Courtyard","This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",https://linktothelogo.com/logo.png
Here We Aren't,"Here We Aren't, Godric Square, Peterborough, UK",Peterborough,-6.0333311,54.2166524,pumps.drum.vision,0,"This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",[],[],General,07956283752,blank@yournextshow.co.uk,"{""website"":""https://www.herewearent.com/"",""facebook"":""https://www.facebook.com/herewearent"",""twitter"":""https://www.twitter.com/here_we_arent"",""instagram"":""https://www.instagram.com/here_we_arent""}","Here We Aren't works to record, promote, sell and distribute visual and aural art in the Peterborough area","This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",https://linktothelogo.com/logo.png
The Metal Monocle,"The Metal Monocle, Braunstone Gate, Leicester, UK",Leicester,-1.13169,52.6386,swift.silks.candle,0,"This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",[],[],Tommy/ Caroline,01164292445,blank@yournextshow.co.uk,"{""website"":""https://www.themetalmonocle.co.uk/"", ""facebook"":""https://www.facebook.com/TheMetalMonocle"", ""instagram"":""https://www.instagram.com/metal.monocle""}""","This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!","This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",https://linktothelogo.com/logo.png
Firebug,"Firebug, Millstone Lane, Leicester, UK",Leicester,-1.1345031,52.6330719,fires.drove.silent,100,"This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",[],[],Kat Frater,01162551228,info@firebugbar.co.uk,"{""website"":""https://firebugbar.net/"",""facebook"":""https://www.facebook.com/FirebugBar/"",""instagram"":""https://www.instagram.com/firebugbarleic/"",""twitter"":""https://www.twitter.com/FireBugBar""}",FOOD - DRINK - COCKTAILS - LIVE MUSIC - COMEDY,"This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",https://linktothelogo.com/logo.png
Duffy's Bar,"Duffy's Bar, Pocklingtons Walk, Leicester, UK",Leicester,-1.13169,52.6386,next.miles.wooden,0,"This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",[],[],General,01618816789,blank@yournextshow.co.uk,"{""website"":""https://www.ents24.com/manchester-events/duffys-bar-chorlton"",""facebook"":""https://www.facebook.com/duffysbar.chorlton/""}","This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!","This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",https://linktothelogo.com/logo.png
